ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,Phi2,Phi2*PSII_antanna_size*100
0.9,7,0.366666667,0.163335177,5.988956475
0.811111111,3.92,0.9,0.065155951,5.864035546
0.277777778,7,0.811111111,0.080329823,6.51564123
0.544444444,3.92,0.366666667,0.16263491,5.963280026
0.633333333,5.46,0.277777778,0.216193165,6.005365683
0.9,5.46,0.188888889,0.309890768,5.853492275
0.1,1.61,0.722222222,0.087198142,6.297643592
0.277777778,2.38,0.188888889,0.315484851,5.959158303
0.366666667,0.07,0.633333333,0.078256272,4.956230555
0.722222222,0.07,0.633333333,0.068070093,4.311105871
0.455555556,7,0.633333333,0.099048491,6.273071076
0.544444444,3.92,0.811111111,0.073836431,5.988954979
0.722222222,6.23,0.455555556,0.132471414,6.034808872
0.277777778,2.38,0.9,0.067241202,6.051708208
0.544444444,5.46,0.811111111,0.075296353,6.107370823
0.1,3.92,0.544444444,0.123883928,6.744791609
0.9,0.07,0.633333333,0.062493061,3.957893841
0.188888889,5.46,0.544444444,0.120704383,6.57168306
0.1,0.84,0.455555556,0.132267074,6.025500041
0.1,5.46,0.722222222,0.096557682,6.973610353
0.1,2.38,0.188888889,0.336115934,6.348856528
0.455555556,6.23,0.188888889,0.324087406,6.121651006
0.366666667,0.84,0.1,0.547362687,5.473626872
0.366666667,0.84,0.188888889,0.296749849,5.605274924
0.811111111,6.23,0.366666667,0.163222438,5.984822722
0.722222222,6.23,0.811111111,0.074611869,6.051851616
0.1,3.15,0.544444444,0.121568507,6.618729805
0.188888889,0.07,0.366666667,0.142325366,5.218596765
0.722222222,4.69,0.1,0.56797319,5.679731904
0.1,0.07,0.188888889,0.283340279,5.351983045
0.811111111,1.61,0.366666667,0.153008539,5.61031311
0.722222222,0.84,0.1,0.535342196,5.353421958
0.633333333,0.84,0.455555556,0.12128449,5.5251823
0.722222222,7,0.1,0.577193651,5.771936507
0.455555556,0.07,0.811111111,0.05934705,4.813705205
0.722222222,2.38,0.633333333,0.090790032,5.750035384
0.9,3.92,0.722222222,0.08071933,5.829729361
0.366666667,4.69,0.633333333,0.097834041,6.196155905
0.9,0.84,0.811111111,0.067276303,5.456855662
0.277777778,4.69,0.722222222,0.087490802,6.318780111
0.277777778,2.38,0.1,0.574262707,5.742627074
0.9,7,0.633333333,0.094889994,6.009699629
0.633333333,2.38,0.544444444,0.106203869,5.782210639
0.633333333,7,0.811111111,0.075754622,6.144541558
0.277777778,3.92,0.188888889,0.324713248,6.133472456
0.722222222,6.23,0.366666667,0.164302469,6.024423856
0.811111111,0.84,0.9,0.060894271,5.480484421
0.188888889,3.15,0.188888889,0.328145287,6.198299867
0.366666667,0.84,0.633333333,0.089330487,5.657597508
0.544444444,6.23,0.722222222,0.085226656,6.155258482
0.366666667,2.38,0.188888889,0.310940621,5.873322849
0.277777778,7,0.544444444,0.119381468,6.499657722
0.277777778,4.69,0.277777778,0.225415026,6.261528506
0.455555556,2.38,0.277777778,0.21050861,5.84746139
0.811111111,4.69,0.277777778,0.211589884,5.877496785
0.544444444,6.23,0.277777778,0.219829869,6.106385256
0.277777778,5.46,0.277777778,0.227805209,6.327922472
0.277777778,5.46,0.1,0.595738229,5.957382293
0.9,6.23,0.722222222,0.082708782,5.973412044
0.366666667,0.84,0.9,0.06291833,5.662649697
0.544444444,4.69,0.9,0.067260599,6.053453884
0.633333333,3.15,0.366666667,0.159505659,5.848540834
0.188888889,3.15,0.277777778,0.225227575,6.25632154
0.277777778,0.07,0.277777778,0.182685524,5.074597883
0.455555556,0.84,0.366666667,0.152545172,5.593322975
0.188888889,7,0.633333333,0.106104288,6.719938225
0.277777778,4.69,0.455555556,0.13828986,6.299871386
0.544444444,2.38,0.188888889,0.305085294,5.762722215
0.277777778,3.92,0.277777778,0.222750667,6.187518522
0.544444444,5.46,0.633333333,0.096334974,6.101215034
0.722222222,2.38,0.811111111,0.070944808,5.754412169
0.277777778,7,0.9,0.072432749,6.51894745
0.722222222,3.15,0.1,0.559600618,5.596006183
0.277777778,3.15,0.722222222,0.085177952,6.151740949
0.9,1.61,0.633333333,0.08840343,5.598883897
0.455555556,0.84,0.277777778,0.200970123,5.58250341
0.366666667,6.23,0.9,0.070306982,6.327628419
0.722222222,7,0.633333333,0.096132669,6.0884024
0.633333333,0.07,0.188888889,0.234821375,4.435514867
0.633333333,3.92,0.455555556,0.130038956,5.923996906
0.277777778,4.69,0.188888889,0.328407248,6.203248023
0.455555556,3.92,0.633333333,0.095450689,6.045210275
0.366666667,6.23,0.633333333,0.09974812,6.317380959
0.9,6.23,0.277777778,0.213593332,5.933148124
0.9,0.07,0.9,0.044037875,3.963408719
0.633333333,7,0.366666667,0.166752611,6.114262411
0.277777778,2.38,0.633333333,0.095425488,6.043614257
0.544444444,0.07,0.188888889,0.243789454,4.604911905
0.455555556,7,0.722222222,0.086913913,6.277115909
0.811111111,5.46,0.455555556,0.130631152,5.950974702
0.455555556,3.92,0.277777778,0.216170763,6.004743408
0.455555556,7,0.455555556,0.137391209,6.258932851
0.9,1.61,0.366666667,0.15235642,5.586402051
0.277777778,5.46,0.9,0.071057271,6.395154396
0.633333333,2.38,0.811111111,0.071383047,5.789958221
0.455555556,6.23,0.544444444,0.114211324,6.218172089
0.544444444,4.69,0.811111111,0.074605891,6.051366699
0.188888889,0.07,0.811111111,0.064490633,5.230906866
0.366666667,4.69,0.722222222,0.085844158,6.199855823
0.633333333,3.15,0.455555556,0.128569652,5.857061902
0.722222222,6.23,0.544444444,0.110965935,6.041478669
0.811111111,5.46,0.366666667,0.162038293,5.941404062
0.1,4.69,0.544444444,0.125930339,6.856207323
0.9,0.07,0.277777778,0.141580671,3.93279642
0.366666667,0.84,0.722222222,0.07836477,5.659677809
0.633333333,2.38,0.633333333,0.09135158,5.78560008
0.633333333,4.69,0.633333333,0.094626614,5.993018882
0.722222222,6.23,0.9,0.067268472,6.054162468
0.9,3.92,0.811111111,0.071898358,5.831755744
0.277777778,0.84,0.455555556,0.125554893,5.719722912
0.1,7,0.722222222,0.099032884,7.15237497
